year,count
1950,3
1951,1
1952,0
1953,3
1954,0
1955,0
1956,2
1957,2
1958,5
1959,3
1960,3
1961,1
1962,3
1963,1
1964,1
1965,2
1966,1
1967,1
1968,3
1969,1
1970,7
1971,3
1972,3
1973,2
1974,2
1975,5
1976,1
1977,0
1978,4
1979,1
1980,2
1981,4
1982,4
1983,0
1984,3
1985,1
1986,5
1987,1
1988,8
1989,4
1990,8
1991,5
1992,1
1993,5
1994,4
1995,10
1996,8
1997,9
1998,9
1999,4
2000,13
2001,11
2002,5
2003,11
2004,13
2005,9
2006,18
2007,9
2008,19
2009,23
2010,367
2011,14
2012,37
2013,32
2014,40
2015,68
2016,99
2017,156
2018,214
2019,192
2020,220
2021,532
2022,2020
